Journal title;Journal URL;First calendar year journal provided online Open Access content;Alternative title;Country of publisher;Full text language;Keywords;Journal ISSN (print version);Journal EISSN (online version);Publisher;Society or institution;Platform, host or aggregator;Journal article processing charges (APCs);APC information URL;APC amount;Currency;Journal article submission fee;Submission fee URL;Submission fee amount;Submission fee currency;Journal waiver policy (for developing country authors etc);Waiver policy information URL;Digital archiving policy or program(s);Archiving: national library;Archiving: other;Archiving infomation URL;Journal full-text crawl permission;Permanent article identifiers;Journal provides download statistics;Download statistics information URL;Full text formats;URL for the Editorial Board page;Review process;Review process information URL;URL for journal's aims & scope;URL for journal's instructions for authors;Journal plagiarism screening policy;Plagiarism information URL;Average number of weeks between submission and publication;URL for journal's Open Access statement;Machine-readable CC licensing information embedded or displayed in articles;URL to an example page with embedded licensing information;Journal license;License attributes;URL for license terms;Does this journal allow unrestricted reuse in compliance with BOAI?;Deposit policy directory;Author holds copyright without restrictions;Copyright information URL;Author holds publishing rights without restrictions;Publishing rights information URL;DOAJ Seal;Tick: Accepted after March 2014;Added on Date;Subjects;Number of Article Records;Most Recent Article Added
Paidéia (Ribeirão Preto);http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-863X&lng=en&nrm=iso;1993;;Brazil;English, Portuguese, Spanish, Castilian;behavioral science, applied psychology, sociology;0103-863X;1982-4327;Universidade de São Paulo;;SciELO Brazil;No;http://www.scielo.br/revistas/paideia/iinstruc.htm#007;;;;http://www.scielo.br/revistas/paideia/iinstruc.htm#007;;;;;;;;;Yes;DOI;Yes;http://www.scielo.br/statjournal.php?lang=en&issn=0103-863X;PDF, HTML, XML;http://www.scielo.br/revistas/paideia/iedboard.htm;Blind peer review;http://www.scielo.br/revistas/paideia/iinstruc.htm;http://www.scielo.br/revistas/paideia/iinstruc.htm;http://www.scielo.br/revistas/paideia/iinstruc.htm;;;36;http://www.scielo.br/revistas/paideia/isubscrp.htm;Yes;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2015000100029&lng=en&nrm=iso&tlng=en;CC BY-NC;;http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-863X&lng=en&nrm=iso;Yes;;False;;False;;No;Yes;2008-06-23T15:31:58Z;Philosophy. Psychology. Religion: Psychology;885;2019-04-10T09:27:50Z
Revista del Departamento de Psicología - UFF;http://www.scielo.br/scielo.php?script=sci_serial&lng=es&pid=0104-8023&nrm=iso;2005;;Brazil;PORTUGUESE, FRENCH;psychology;0104-8023;1980-5489;Universidade Federal Fluminense;;SciELO Brazil;No Information;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;2009-12-10T14:25:08Z;Philosophy. Psychology. Religion: Psychology;102;2013-09-05T18:13:20Z
Revista Colombiana de Psicología;http://www.revistas.unal.edu.co/index.php/psicologia/index;2002;;Colombia;English, Portuguese, Spanish, Castilian;applied psychology;0121-5469;2344-8644;Universidad Nacional de Colombia;;OJS;No;http://www.revistas.unal.edu.co/index.php/psicologia/about/submissions#onlineSubmissions;;;;http://www.revistas.unal.edu.co/index.php/psicologia/about/submissions#onlineSubmissions;;;;;;;;;Yes;DOI;;;PDF, HTML;http://www.revistas.unal.edu.co/index.php/psicologia/about/editorialTeam;Double blind peer review;http://www.revistas.unal.edu.co/index.php/psicologia/about/submissions#authorGuidelines;http://www.revistas.unal.edu.co/index.php/psicologia/about/editorialPolicies#focusAndScope;http://www.revistas.unal.edu.co/index.php/psicologia/about/submissions#authorGuidelines;;;52;http://www.revistas.unal.edu.co/index.php/psicologia/about/editorialPolicies#openAccessPolicy;;;CC BY-NC-ND;;http://www.revistas.unal.edu.co/index.php/psicologia/about/submissions#copyrightNotice;Yes;;False;;False;;No;Yes;2009-09-11T12:14:30Z;Philosophy. Psychology. Religion: Psychology;550;2018-10-18T21:27:11Z
Medunab;http://revistas.unab.edu.co/index.php?journal=medunab&page=index;1998;;Colombia;Spanish , Castilian;psychology, medicine, nursing, health sciences;0123-7047;2382-4603;Universidad Autonoma de Bucaramanga;Universidad Autonoma de Bucaramanga;OJS;No;http://revistas.unab.edu.co/index.php?journal=medunab&page=about&op=submissions#authorGuidelines;;;;http://revistas.unab.edu.co/index.php?journal=medunab&page=about&op=submissions#authorGuidelines;;;;;;;;;Yes;;;;PDF;http://revistas.unab.edu.co/index.php?journal=medunab&page=about&op=editorialTeam;Double blind peer review;http://revistas.unab.edu.co/index.php?journal=medunab&page=about&op=editorialPolicies#peerReviewProcess;http://revistas.unab.edu.co/index.php?journal=medunab&page=about&op=editorialPolicies#focusAndScope;http://revistas.unab.edu.co/index.php?journal=medunab&page=about&op=submissions#authorGuidelines;Yes;http://revistas.unab.edu.co/index.php?journal=medunab&page=about&op=submissions#authorGuidelines;24;http://revistas.unab.edu.co/index.php?journal=medunab&page=about&op=editorialPolicies#openAccessPolicy;;;CC BY-NC;;http://revistas.unab.edu.co/index.php?journal=medunab&page=about&op=submissions#authorGuidelines;Yes;;False;;False;;No;Yes;2018-03-13T11:53:27Z;Medicine;583;2018-12-01T04:00:34Z
Psicogente;http://revistas.unisimon.edu.co/index.php/psicogente;2003;;Colombia;Spanish , Castilian;clinical psychology, social psychology, mental health, education psychology, neuropsychology;0124-0137;;Universidad Simón Bolívar;;OJS;No;http://revistas.unisimon.edu.co/index.php/psicogente/accesoabierto;;;;http://revistas.unisimon.edu.co/index.php/psicogente/accesoabierto;;;;;;;;http://publicaciones.unisimonbolivar.edu.co/rdigital/ojs/index.php/psicogente/index;Yes;;;;PDF;http://publicaciones.unisimonbolivar.edu.co/rdigital/ojs/index.php/psicogente/about/editorialTeam;Double blind peer review;http://revistas.unisimon.edu.co/index.php/psicogente/evaluacionpublicacion;http://revistas.unisimon.edu.co/index.php/psicogente/enfoque;http://revistas.unisimon.edu.co/index.php/psicogente/enviorecepcion;;;16;http://revistas.unisimon.edu.co/index.php/psicogente/accesoabierto;;;CC BY;;http://revistas.unisimon.edu.co/index.php/psicogente/cesion;Yes;Dulcinea;False;;False;;No;Yes;2011-05-05T13:34:27Z;Philosophy. Psychology. Religion: Psychology;392;2018-11-28T16:36:49Z
Quaderns de Psicología;http://revistes.uab.cat/quadernspsicologia;1975;;Spain;Catalan, Valencian, English, Portuguese, Spanish, Castilian;psychology, theoretical psychology;0211-3481;2014-4520;Universitat Autònoma de Barcelona;;OJS;No;http://www.quadernsdepsicologia.cat/about/editorialPolicies#custom-4;;;;http://www.quadernsdepsicologia.cat/about/editorialPolicies#custom-4;;;;;;;;;;DOI;;;PDF;http://www.quadernsdepsicologia.cat/about/editorialTeam;Peer review;http://www.quadernsdepsicologia.cat/about/editorialPolicies#peerReviewProcess;http://www.quadernsdepsicologia.cat/about/editorialPolicies#focusAndScope;http://www.quadernsdepsicologia.cat/about/submissions#authorGuidelines;;;12;http://www.quadernsdepsicologia.cat/about/editorialPolicies#openAccessPolicy;;;CC BY-NC-ND;;http://www.quadernsdepsicologia.cat/about/submissions#copyrightNotice;Yes;Sherpa/Romeo, Dulcinea;False;;False;;No;Yes;2010-03-31T17:43:09Z;Philosophy. Psychology. Religion: Psychology;465;2018-11-13T10:27:08Z
Anales de Psicología;http://revistas.um.es/analesps;2000;Annals of Psychology;Spain;English, Spanish, Castilian;multidisciplinary psychology;0212-9728;;Servicio de Publicaciones;Universidad de Murcia;Universidad de Murcia;Yes;http://revistas.um.es/analesps/about/submissions#authorGuidelines;200;EUR - Euro;;http://revistas.um.es/analesps/about/submissions#authorGuidelines;;;;;LOCKSS;;;http://revistas.um.es/analesps/about/editorialPolicies#archiving;Yes;DOI;;;PDF;http://revistas.um.es/analesps/about/editorialTeam;Double blind peer review;http://revistas.um.es/analesps/about/editorialPolicies#peerReviewProcess;http://revistas.um.es/analesps/about/editorialPolicies#focusAndScope;http://revistas.um.es/analesps/about/submissions#authorGuidelines;;;53;http://revistas.um.es/analesps/about/editorialPolicies#openAccessPolicy;;;CC BY-NC;;http://revistas.um.es/analesps/about/submissions#copyrightNotice;Yes;Sherpa/Romeo, Dulcinea;False;;False;;No;Yes;2005-05-25T14:48:17Z;Philosophy. Psychology. Religion: Psychology;447;2017-01-10T07:31:02Z
 Revista Interuniversitaria de Formación del Profesorado;http://aufop.com/aufop/revistas/lista/impresa;1987;RIFOP;Spain;Spanish , Castilian;Education, Psychology;0213-8646;2530-3791;Servicio de Publicaciones de la Universidad de Zaragoza;Asociación Universitaria de Formación del Profesorado (AUFOP);Redalyc;No;http://www.aufop.com/aufop/uploaded_files/normas/1484776742.pdf;;;;http://www.aufop.com/aufop/uploaded_files/normas/1484776742.pdf;;;;;;;;;Yes;;;;PDF;http://aufop.com/aufop/revistas/consejo/impresa;Double blind peer review;http://aufop.com/aufop/uploaded_files/normas/1484776742.pdf;http://www.aufop.com/aufop/uploaded_files/normas/1484776742.pdf;http://www.aufop.com/aufop/uploaded_files/normas/1484776742.pdf;;;30;http://aufop.com/aufop/uploaded_files/normas/1484776742.pdf;;;Publisher's own license;Attribution, No Commercial Usage;http://aufop.com/aufop/uploaded_files/normas/1484776742.pdf;Yes;;False;;False;;No;Yes;2017-05-30T15:23:57Z;Education: Education (General);847;2018-09-12T17:44:41Z
Papeles del Psicólogo;http://www.papelesdelpsicologo.es/;1981;Psychologist Papers;Spain;English, Spanish, Castilian;psychology, scientific-practitioner approach, applied psychology;0214-7823;1886-1415;Spanish Psychological Association (Colegio Oficial de Psicólogos);COP (Consejo General de Colegios Oficiales de Psicólogos de España);Spanish Psychological Association (Colegio Oficial de Psicólogos);No;http://www.papelesdelpsicologo.es/ambito.asp;;;;http://www.papelesdelpsicologo.es/ambito.asp;;;;;;;;;;;;;PDF;http://www.papelesdelpsicologo.es/consejo.asp;Blind peer review;http://www.papelesdelpsicologo.es/normas.asp;http://www.papelesdelpsicologo.es/ambito.asp;http://www.papelesdelpsicologo.es/normas.asp;;;15;http://www.papelesdelpsicologo.es/ambito.asp;;;Publisher's own license;Attribution, No Commercial Usage;http://www.papelesdelpsicologo.es/ambito.asp;Yes;;False;;False;;No;Yes;2006-07-04T15:46:14Z;Philosophy. Psychology. Religion: Psychology;284;2019-02-20T10:15:50Z
Jurnal Psikologi;http://jurnal.ugm.ac.id/jpsi;1998;;Indonesia;Indonesian;psychology, behavioral, indigenous psychology;0215-8884;2460-867X;Universitas Gadjah Mada;;OJS;No;http://jurnal.ugm.ac.id/jpsi/about/submissions#authorGuidelines;;;;http://jurnal.ugm.ac.id/jpsi/about/submissions#authorGuidelines;;;;;;;;;Yes;;;;PDF;http://jurnal.ugm.ac.id/jpsi/about/editorialTeam;Blind peer review;http://jurnal.ugm.ac.id/jpsi/about/editorialPolicies#peerReviewProcess;http://jurnal.ugm.ac.id/jpsi/about/editorialPolicies#focusAndScope;http://jurnal.ugm.ac.id/jpsi/about/submissions#authorGuidelines;Yes;http://jurnal.ugm.ac.id/jpsi/about/editorialPolicies#peerReviewProcess;12;http://jurnal.ugm.ac.id/jpsi/about/editorialPolicies#openAccessPolicy;Yes;http://jurnal.ugm.ac.id/jpsi/article/view/6940;CC BY-SA;;http://jurnal.ugm.ac.id/jpsi/about/editorialPolicies#openAccessPolicy;Yes;;False;;False;;No;Yes;2016-02-18T15:27:06Z;Philosophy. Psychology. Religion: Psychology;206;2019-04-10T08:45:13Z
Connections;https://www.exeley.com/journal/connections;1977;;United States;English;sociology, social network analysis, medicine, marketing, psychology, computer science;0226-1766;;Exeley Inc.;International Network for Social Network Analysis;Exeley Inc.;No;https://www.exeley.com/journal/connections;;;;https://www.exeley.com/journal/connections;;;;;;;;http://www.portico.org/digital-preservation/who-participates-in-portico/participating-publishers/exeley;Yes;DOI;Yes;https://www.exeley.com/connections/doi/10.17266/35.2.1;PDF;https://www.exeley.com/journal/connections;Blind peer review;https://www.exeley.com/journal/connections;https://www.exeley.com/journal/connections;https://www.exeley.com/journal/connections;;;40;https://www.exeley.com/journal/connections;;;CC BY;;https://www.exeley.com/exeley/journals/connections/supp/Connections%20-%20Open%20Access%20Agreement.pdf;Yes;;True;https://www.exeley.com/exeley/journals/connections/supp/Connections%20-%20Open%20Access%20Agreement.pdf;True;https://www.exeley.com/exeley/journals/connections/supp/Connections%20-%20Open%20Access%20Agreement.pdf;No;Yes;2018-08-26T06:52:26Z;Science: Mathematics | Social Sciences;0;
Edukacja;http://www.edukacja.ibe.edu.pl/;2012;;Poland;English, Polish;education, sociology, economics, didactics, statistics, psychology;0239-6858;2449-8998;Instytut Badań Edukacyjnych;Instytut Badań Edukacyjnych;Ebsco;No;http://www.edukacja.ibe.edu.pl/en/editorial-team;;;;http://www.edukacja.ibe.edu.pl/en/editorial-team;;;Yes;http://www.edukacja.ibe.edu.pl/en/editorial-team;;;;http://jbc.bj.uj.edu.pl/dlibra/publication?id=434172&from=&dirids=1&tab=1&lp=2&QI=;Yes;DOI;;;PDF;http://www.edukacja.ibe.edu.pl/en/editorial-team;Double blind peer review;http://www.edukacja.ibe.edu.pl/en/for-reviewers/review-principles;http://www.edukacja.ibe.edu.pl/en/editorial-team;http://www.edukacja.ibe.edu.pl/en/for-authors/guidelines-for-authors;;;16;http://www.edukacja.ibe.edu.pl/en/editorial-team;;;CC BY;;http://www.edukacja.ibe.edu.pl/en/editorial-team;Yes;;True;http://www.edukacja.ibe.edu.pl/images/dokumenty/license-agreement.pdf;True;http://www.edukacja.ibe.edu.pl/images/dokumenty/license-agreement.pdf;No;Yes;2018-01-22T21:38:40Z;Education | Social Sciences;229;2018-04-13T11:20:47Z
